County,State,Outbreak Date,Flock Type,Flock Size,State Abbrev,fips,lng,lat
Sonoma,California,11-02-2024,WOAH Non-Poultry,30,CA,6097,-122.8872965,38.52842052
Sacramento,California,11-02-2024,Commercial Turkey Meat Bird,48300,CA,6067,-121.3445212,38.44881725
Grady,Oklahoma,11-02-2023,WOAH Non-Poultry,120,OK,40051,-97.88360671,35.01633237
Marshall,Alabama,11-02-2023,Commercial Broiler Breeder Pullets,47900,AL,1095,-86.30615623,34.36690867
Yavapai,Arizona,11-02-2022,WOAH Non-Poultry,50,AZ,4025,-112.5538467,34.59969928
Waukesha,Wisconsin,11-02-2022,WOAH Non-Poultry,10,WI,55133,-88.30430125,43.01833546
Allegheny,Pennsylvania,11-02-2022,WOAH Non-Poultry,20,PA,42003,-79.9817588,40.46880438
Bergen,New Jersey,11-02-2022,WOAH Non-Poultry,60,NJ,34003,-74.07441147,40.96008351
Okanogan,Washington,11-01-2024,WOAH Non-Poultry,20,WA,53047,-119.7406032,48.54862984
Flathead,Montana,11-01-2024,WOAH Non-Poultry,40,MT,30029,-114.0497122,48.29520088
Stevens,Washington,11-01-2024,WOAH Non-Poultry,130,WA,53065,-117.8550713,48.39899156
Jackson,Oregon,11-01-2024,WOAH Non-Poultry,60,OR,41029,-122.728377,42.43216537
Buena Vista,Iowa,11-01-2023,Commercial Turkey Meat Bird,30000,IA,19021,-95.15100162,42.73545875
Granite,Montana,11-01-2022,WOAH Poultry,40,MT,30039,-113.4401981,46.40415824
Gregory,South Dakota,11-01-2022,Commercial Upland Gamebird Producer,3000,SD,46053,-99.18590693,43.19247936
Stearns,Minnesota,11-01-2022,Commercial Turkey Meat Bird,8500,MN,27145,-94.61299658,45.55199481
Deschutes,Oregon,11-01-2022,WOAH Non-Poultry,8,OR,41017,-121.227881,43.91469217
Wayne,New York,11-01-2022,WOAH Non-Poultry,10,NY,36117,-77.02965084,43.15652579
Madison,Arkansas,10-31-2023,Commercial Broiler Breeder Pullets,31600,AR,5087,-93.72465597,36.01103565
Wagoner,Oklahoma,10-31-2023,WOAH Non-Poultry,50,OK,40145,-95.52115154,35.96138606
Beadle,South Dakota,10-31-2023,Commercial Turkey Meat Bird,29700,SD,46005,-98.27883711,44.41467039
Meeker,Minnesota,10-31-2023,Commercial Turkey Meat Bird,32100,MN,27093,-94.52871063,45.12332877
Lincoln,Tennessee,10-31-2023,WOAH Non-Poultry,100,TN,47103,-86.58840969,35.14053022
Tipton,Tennessee,10-31-2022,WOAH Non-Poultry,90,TN,47167,-89.75925274,35.49692909
Swift,Minnesota,10-31-2022,Commercial Turkey Meat Bird,45600,MN,27151,-95.68142474,45.28288933
Wright,Iowa,10-31-2022,Commercial Table Egg Layer,1100000,IA,19197,-93.73515113,42.73305373
Venango,Pennsylvania,10-30-2024,WOAH Non-Poultry,20,PA,42121,-79.75792032,41.40101962
Fresno,California,10-30-2024,Commercial Broiler Production,204600,CA,6019,-119.6506833,36.75807672
Kings,California,10-30-2024,Commercial Broiler Production,117200,CA,6031,-119.8151995,36.07520008
Kings,California,10-29-2024,Commercial Broiler Production,104500,CA,6031,-119.8151995,36.07520008
Tulare,California,10-29-2024,WOAH Non-Poultry,10,CA,6107,-118.8004216,36.22081997
Kings,California,10-29-2024,Commercial Broiler Production,305500,CA,6031,-119.8151995,36.07520008
Matanuska Susitna,Alaska,10-28-2023,WOAH Non-Poultry,30,AK,,,
Matanuska Susitna,Alaska,10-28-2023,WOAH Non-Poultry,50,AK,,,
Hillsborough,Florida,10-28-2022,WOAH Non-Poultry,40,FL,12057,-82.30867294,27.92948052
Kittitas,Washington,10-27-2023,WOAH Poultry,70,WA,53037,-120.679712,47.12448572
Chilton,Alabama,10-27-2023,Commercial Upland Gamebird Producer,306500,AL,1021,-86.71887934,32.84771004
Stearns,Minnesota,10-27-2022,Commercial Turkey Meat Bird,75000,MN,27145,-94.61299658,45.55199481
Le Sueur,Minnesota,10-27-2022,Commercial Turkey Meat Bird,20100,MN,27079,-93.72984216,44.37144158
Merced,California,10-26-2023,Commercial Turkey Meat Bird,31600,CA,6047,-120.7175058,37.19189197
La Plata,Colorado,10-26-2022,WOAH Non-Poultry,20,CO,8067,-107.843327,37.28655123
Pasco,Florida,10-26-2022,WOAH Non-Poultry,40,FL,12101,-82.3964731,28.30833195
Crook,Oregon,10-25-2024,WOAH Non-Poultry,180,OR,41013,-120.3567062,44.14229491
Lewis,Washington,10-25-2024,WOAH Non-Poultry,60,WA,53041,-122.3933441,46.57770709
Pine,Minnesota,10-25-2023,WOAH Non-Poultry,30,MN,27115,-92.74140502,46.12071071
Brown,Minnesota,10-25-2023,WOAH Non-Poultry,20,MN,27015,-94.727558,44.24201356
Beadle,South Dakota,10-25-2023,Commercial Turkey Meat Bird,51100,SD,46005,-98.27883711,44.41467039
Union,Oregon,10-25-2023,WOAH Non-Poultry,30,OR,41061,-118.0093556,45.31039084
Clark,South Dakota,10-25-2023,Commercial Turkey Meat Bird,31100,SD,46025,-97.72949102,44.8584651
Meeker,Minnesota,10-25-2023,Commercial Turkey Meat Bird,33000,MN,27093,-94.52871063,45.12332877
Hanson,South Dakota,10-25-2023,Commercial Turkey Meat Bird,13400,SD,46061,-97.78704306,43.67458361
Martin,Florida,10-25-2022,WOAH Non-Poultry,30,FL,12085,-80.43133534,27.07737178
Swift,Minnesota,10-25-2022,Commercial Turkey Meat Bird,33800,MN,27151,-95.68142474,45.28288933
Grant,South Dakota,10-25-2022,WOAH Non-Poultry,50,SD,46051,-96.76789112,45.17218979
Indian River,Florida,10-25-2022,WOAH Non-Poultry,30,FL,12061,-80.60559316,27.69396994
Sanpete,Utah,10-25-2022,Commercial Turkey Meat Bird,3900,UT,49039,-111.5763852,39.37372605
Indian River,Florida,10-25-2022,WOAH Poultry,50,FL,12061,-80.60559316,27.69396994
Lake,Florida,10-25-2022,WOAH Non-Poultry,9,FL,12069,-81.71135257,28.76121706
Tulare,California,10-24-2024,Commercial Broiler Production,6000,CA,6107,-118.8004216,36.22081997
Kandiyohi,Minnesota,10-24-2023,Commercial Turkey Meat Bird,53700,MN,27067,-95.00576302,45.15252304
