,County,State,Outbreak Date,Flock Type,Flock Size,State Abbrev,fips,lng,lat
34,Darke,Ohio,2024-12-27,Commercial Table Egg Layer,931300,OH,39037,-84.61945793,40.13381861
35,Sacramento,California,2024-12-27,Commercial Broiler Production,153800,CA,6067,-121.3445212,38.44881725
36,Garfield,Oklahoma,2023-12-27,WOAH Non-Poultry,30,OK,40047,-97.78263254,36.3791609
37,Todd,Minnesota,2023-12-27,Commercial Turkey Meat Bird,78800,MN,27153,-94.89728962,46.07014445
38,Northumberland,Pennsylvania,2023-12-27,Commercial Raised for Release Upland Game Bird,98300,PA,42097,-76.70893391,40.85142483
39,Muskegon,Michigan,2023-12-27,Commercial Turkey Meat Bird,31500,MI,26121,-86.1519783,43.2913812
40,Hardin,Ohio,2023-12-27,Commercial Table Egg Pullets,1363900,OH,39065,-83.65939867,40.66129428
41,Phillips,Kansas,2024-12-26,WOAH Non-Poultry,10,KS,20147,-99.34669372,39.78462799
42,Merced,California,2023-12-26,Commercial Table Egg Layer,709000,CA,6047,-120.7175058,37.19189197
43,Cass,Missouri,2024-12-24,WOAH Non-Poultry,60,MO,29037,-94.35504883,38.64793026
44,Franklin,Vermont,2024-12-24,WOAH Non-Poultry,20,VT,50011,-72.9120833,44.85745972
45,San Joaquin,California,2024-12-24,Commercial Table Egg Layer,627800,CA,6077,-121.2712102,37.9345275
46,Riverside,California,2024-12-24,Commercial Table Egg Layer,1105500,CA,6065,-115.9939021,33.74329781
47,Adair,Oklahoma,2024-12-24,Commercial Turkey Meat Bird,45000,OK,40001,-94.65863245,35.88406262
48,Stanislaus,California,2024-12-24,Commercial Table Egg Layer,392100,CA,6099,-120.9979524,37.55851635
49,Adair,Oklahoma,2024-12-24,Commercial Turkey Meat Bird,81400,OK,40001,-94.65863245,35.88406262
50,Dade,Missouri,2024-12-24,WOAH Non-Poultry,90,MO,29057,-93.8503345,37.431814
51,Ottawa,Michigan,2024-12-23,Commercial Turkey Meat Bird,75500,MI,26139,-85.9964531,42.95990607
52,Lawrence,Illinois,2024-12-23,Commercial Turkey Meat Bird,41400,IL,17101,-87.72698819,38.72048612
53,El Dorado,California,2024-12-23,WOAH Non-Poultry,30,CA,6017,-120.5247066,38.77888901
54,Glenn,California,2022-12-22,Commercial Upland Gamebird Producer,32000,CA,6021,-122.3921982,39.59788378
55,Edmunds,South Dakota,2023-12-21,Commercial Upland Gamebird Producer,3800,SD,46045,-99.21540939,45.41847898
56,Dodge,Nebraska,2023-12-21,WOAH Non-Poultry,40,NE,31053,-96.6539044,41.57781563
57,Weakley,Tennessee,2022-12-21,WOAH Poultry,28800,TN,47183,-88.71817942,36.29822836
58,Umatilla,Oregon,2022-12-21,WOAH Non-Poultry,10,OR,41059,-118.736681,45.59148273
